N,runs,mean_rival_response_share,model_mean_truth_share,observed_mean_accuracy,model_prob_correct_consensus,model_prob_wrong_consensus,model_prob_polarization,observed_prob_correct_consensus,observed_prob_wrong_consensus,observed_prob_polarization,observed_prob_fragmentation
4,35,0.39085714285714285,0.6165449699770773,0.5571428571428572,0.49133175536193585,0.2724355149201127,0.2362327297179508,0.5142857142857142,0.2571428571428571,0.22857142857142856,0.0
8,37,0.41081081081081083,0.6212386137045393,0.6013513513513513,0.42709869088359653,0.19618037115864922,0.376720937957753,0.4864864864864865,0.08108108108108109,0.43243243243243246,0.0
16,37,0.3445608108108108,0.7023188168364509,0.643581081081081,0.41804046843524784,0.059463808498465325,0.5224957230662873,0.5135135135135135,0.02702702702702703,0.3783783783783784,0.08108108108108109
32,36,0.32227430555555553,0.7316179127310032,0.6467013888888888,0.3384083790006196,0.010814226760151334,0.6507773942392198,0.4722222222222222,0.0,0.4722222222222222,0.05555555555555555
64,37,0.3518412162162162,0.7065477463505507,0.6038851351351351,0.2877373960933963,0.00951006897839318,0.7027525349282474,0.40540540540540543,0.05405405405405406,0.4864864864864865,0.05405405405405406
128,35,0.33984375,0.7184063918218383,0.6236607142857142,0.29270545684091387,0.002646102631684347,0.7046484405274144,0.4,0.0,0.5714285714285714,0.02857142857142857
