N,trials,J_msg,mean_v_T,mean_v_R,sd_v_T,sd_v_R,mean_type_T,mean_type_R,mean_type_0,mean_h,sd_h,correct_consensus,wrong_consensus,polarization,fragmentation,modal_endpoint
4,600,1.785,0.6091666666666666,0.3908333333333333,0.41628232273569127,0.4162823227356912,0.09666666666666666,0.017916666666666668,0.8854166666666666,0.11930347599295786,0.5915312107828178,0.44666666666666666,0.24,0.31333333333333335,0.0,correct_consensus
8,600,1.785,0.6914583333333333,0.30854166666666666,0.3259360851412777,0.32593608514127764,0.17395833333333333,0.044583333333333336,0.7814583333333334,0.18940143462859269,0.6990711128959549,0.49833333333333335,0.12333333333333334,0.37833333333333335,0.0,correct_consensus
16,600,1.785,0.7453125,0.2546875,0.23008752014632025,0.23008752014632025,0.28520833333333334,0.1146875,0.6001041666666667,0.2643994951366035,0.8450163096671227,0.4533333333333333,0.015,0.41833333333333333,0.11333333333333333,correct_consensus
32,600,1.785,0.7495833333333334,0.2504166666666667,0.1437833596557296,0.1437833596557296,0.43572916666666667,0.23453125,0.3297395833333333,0.3487402022508451,1.0257335646632508,0.24666666666666667,0.0,0.5016666666666667,0.25166666666666665,polarization
64,600,1.785,0.7276302083333334,0.2723697916666667,0.10348186032141864,0.10348186032141864,0.536484375,0.3223697916666667,0.14114583333333333,0.39548831782668453,1.1336516945934385,0.105,0.0,0.59,0.305,polarization
128,600,1.785,0.7351041666666667,0.26489583333333333,0.06974362852345765,0.06974362852345765,0.5656119791666666,0.3313671875,0.10302083333333334,0.4242453250857342,1.147622133209111,0.05,0.0,0.6066666666666667,0.3433333333333333,polarization
