N,trials,J_msg,correct_consensus,wrong_consensus,polarization,fragmentation,modal_endpoint
4,600,1.785,0.44666666666666666,0.24,0.31333333333333335,0.0,correct_consensus
8,600,1.785,0.49833333333333335,0.12333333333333334,0.37833333333333335,0.0,correct_consensus
16,600,1.785,0.4533333333333333,0.015,0.41833333333333333,0.11333333333333333,correct_consensus
32,600,1.785,0.24666666666666667,0.0,0.5016666666666667,0.25166666666666665,polarization
64,600,1.785,0.105,0.0,0.59,0.305,polarization
128,600,1.785,0.05,0.0,0.6066666666666667,0.3433333333333333,polarization
