N,w_T,w_R,w_0,cutoff_w_T,cutoff_w_R,cutoff_w_0,theta,raw_w_T,raw_w_R,rescale
4,0.09409584836944777,0.016986651862310367,0.8889174997682419,0.1337725285304922,0.056165541199099,0.8100619302704088,0.6931471805599453,0.09409584836944777,0.016986651862310367,1.0
8,0.1725485365262346,0.04619151960540375,0.7812599438683616,0.20739013616507665,0.07965184505441814,0.7129580187805052,0.6931471805599453,0.1725485365262346,0.04619151960540375,1.0
16,0.2924946040465588,0.11548846413094309,0.5920169318224981,0.3188429416981236,0.13833724811078985,0.5428198101910866,0.6931471805599453,0.2924946040465588,0.11548846413094309,1.0
32,0.433835332834543,0.2341621541641285,0.3320025130013285,0.44852195699334746,0.24170033598951807,0.30977770701713453,0.6931471805599453,0.433835332834543,0.2341621541641285,1.0
64,0.5351386939099716,0.32257856997661105,0.14228273611341735,0.5413169430496795,0.31888848871546416,0.13979456823485642,0.6931471805599453,0.5351386939099716,0.32257856997661105,1.0
128,0.5643172787745893,0.3329829594109786,0.10269976181443213,0.5687176798441502,0.3272006922396548,0.104081627916195,0.6931471805599453,0.5643172787745893,0.3329829594109786,1.0
